date,description,merchant,amount,currency
2026-01-01,Netflix Subscription,Netflix,-549,PHP
2026-02-01,Netflix Subscription,Netflix,-549,PHP
2026-03-01,Netflix Subscription,Netflix,-549,PHP
2026-04-01,Netflix Subscription,Netflix,-549,PHP
2026-05-01,Netflix Subscription,Netflix,-549,PHP
2026-01-05,Spotify Premium,Spotify,-149,PHP
2026-02-05,Spotify Premium,Spotify,-149,PHP
2026-03-05,Spotify Premium,Spotify,-149,PHP
2026-04-05,Spotify Premium,Spotify,-149,PHP
2026-05-05,Spotify Premium,Spotify,-149,PHP
2026-01-12,Canva Pro,Canva,-299,PHP
2026-02-12,Canva Pro,Canva,-299,PHP
2026-03-12,Canva Pro,Canva,-299,PHP
2026-04-12,Canva Pro,Canva,-299,PHP
2026-05-12,Canva Pro,Canva,-299,PHP
2026-01-10,iCloud Storage,iCloud,-49,PHP
2026-02-10,iCloud Storage,iCloud,-49,PHP
2026-03-10,iCloud Storage,iCloud,-49,PHP
2026-04-10,iCloud Storage,iCloud,-49,PHP
2026-05-10,iCloud Storage,iCloud,-49,PHP
2026-01-15,YouTube Premium,YouTube Premium,-159,PHP
2026-02-15,YouTube Premium,YouTube Premium,-159,PHP
2026-03-15,YouTube Premium,YouTube Premium,-159,PHP
2026-04-15,YouTube Premium,YouTube Premium,-159,PHP
2026-05-15,YouTube Premium,YouTube Premium,-159,PHP
2026-01-03,Grab Ride,Grab,-230,PHP
2026-01-18,Grab Ride,Grab,-180,PHP
2026-02-08,Grab Ride,Grab,-420,PHP
2026-03-22,Grab Ride,Grab,-135,PHP
2026-01-20,Dinner,Jollibee,-250,PHP
2026-02-07,Coffee,Starbucks,-185,PHP
2026-03-03,One-time online template,Design Market,-899,PHP
